HUC Code,HUC Name,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
040500011601,Rivir Lake-Forker Creek,33,33,45,45,15,17,34,Cover Crop,,
040500011602,Winebrenner Branch-Carrol Creek,18,18,21,21,58,67,13,Cover Crop,,
040500011604,Muncie Lake-South Branch Elkhart River,12,12,65,65,19,22,45,Early Successional Habitat Development/Management,,
040500011705,Coppes Ditch-Turkey Creek,0,0,0,0,0,0,0,N/a,,
041000030704,Black Creek,17,17,37,37,11,13,26,Cover Crop,,
041000030705,King Lake-Little Cedar Creek,16,16,44,44,12,13,27,"Residue and Tillage Management, No-Till",,
041000030706,Willow Creek,40,40,11,11,30,35,70,"Residue and Tillage Management, No-Till",,
041000030707,Dosch Ditch-Cedar Creek,5,5,79,79,34,36,72,Cover Crop,,
041000030801,Hursey Ditches-Bear Creek,26,26,67,67,33,35,70,"Residue and Tillage Management, No-Till",,
041000030802,Metcalf Ditch-St Joseph River,26,26,85,85,38,40,81,"Residue and Tillage Management, No-Till",,
041000030803,Swartz Carnahan Ditch-St Josepf River,3,3,46,46,93,11,22,"Residue and Tillage Management, No-Till",,
041000030804,Cedarville Reservoir-St Joseph River,2,2,9.,9.,13,17,34,Prescribed Grazing,,
041000030805,Ely Run-St Joseph River,0,0,0,0,0,0,0,N/a,,
041000030806,Becketts Run-St Joseph River,0,0,0,0,0,0,0,N/a,,
041000040302,Black Creek,0,0,0,0,0,0,0,N/a,,
041000040304,Duck Creek,2,2,26,26,26,37,75,Cover Crop,,
041000040305,Town of Willshire-St Marys River,0,0,0,0,0,0,0,N/a,,
041000040401,Twentyseven Mile Creek,3,3,12,12,12,17,35,Cover Crop,,
041000040402,Gales Ditch,34,34,61,61,61,87,17,Cover Crop,,
041000040403,Headwaters Blue Creek,17,17,50,50,47,69,13,Cover Crop,,
041000040404,Little Blue Creek,4,4,50,50,67,88,17,"Residue and Tillage Management, No-Till",,
041000040405,Blue Creek,5,5,68,68,72,10,20,Early Successional Habitat Development/Management,,
041000040406,Martz Creek,8,8,10,10,10,14,29,Cover Crop,,
041000040407,Borum Run,5,5,5.,5.,8.,12,24,Conservation Cover,,
041000040408,City of Decatur-St Marys River,25,25,70,70,74,10,20,Early Successional Habitat Development/Management,,
041000040501,Holthouse Ditch,27,27,48,48,51,88,32,Cover Crop,,
041000040502,Weber Ditche-St Marys River,3,3,92,92,11,15,30,Early Successional Habitat Development/Management,,
041000040503,Nicklesen Creek,15,15,54,54,56,78,15,Cover Crop,,
041000040504,Buhlman Ditch-St Marys River,12,12,51,51,73,95,19,Early Successional Habitat Development/Management,,
041000040601,Houk Ditch,0,0,0,0,0,0,0,N/a,,
041000040602,Simmerman Ditch-St Marys River,9,9,31,31,46,71,18,"Residue and Tillage Management, No-Till",,
041000040603,Fairfield Ditch,12,12,60,60,97,12,24,"Residue and Tillage Management, No-Till",,
041000040604,Snyder Ditch-St Marys River,17,17,24,24,42,53,10,"Residue and Tillage Management, No-Till",,
041000040605,Sly Run Creek,0,0,0,0,0,0,0,N/a,,
041000040606,Junk Ditch-St Marys River,0,0,0,0,0,0,0,N/a,,
041000050101,Trier Ditch,0,0,0,0,0,0,0,N/a,,
041000050102,Bullerman Ditch-Maumee River,0,0,0,0,0,0,0,N/a,,
041000050103,Sixmile Creek-Maumee River,10,10,23,23,40,50,10,"Residue and Tillage Management, No-Till",,
041000050104,Black Creek,3,3,33,33,67,10,27,"Residue and Tillage Management, No-Till",,
041000050105,Bottern Ditch-Maumee River,1,1,20,20,23,31,63,Cover Crop,,
041000050106,Marsh Ditch-Maumee River,9,9,38,38,69,87,17,"Residue and Tillage Management, No-Till",,
041000050201,Zuber Cutoff,0,0,0,0,0,0,0,N/a,,
041000050202,North Chaney Ditch-Maumee River,2,2,10,10,18,23,46,"Residue and Tillage Management, No-Till",,
041000050203,Marie DeLarme Creek,25,25,70,70,27,29,59,"Residue and Tillage Management, No-Till",,
041000050204,Gordon Creek,1,1,29,29,15,16,32,"Residue and Tillage Management, No-Till",,
041000071002,Upper Blue Creek,0,0,0,0,0,0,0,N/a,,
041000071201,Headwaters Flatrock Creek,7,7,15,15,22,32,64,Conservation Cover,,
041000071202,Headwaters Hoffman Creek,3,3,6.,6.,14,17,34,Forage and Biomass Planting,,
041000071203,Bohnke Ditch-Hoffman Creek,1,1,6.,6.,15,18,36,"Residue and Tillage Management, No-Till",,
041000071204,Brown Ditch-Flatrock Creek,1,1,0.,0.,1.,1.,2.,Early Successional Habitat Development/Management,,
041000071205,Wildcat Creek-Flatrock Creek,0,0,0,0,0,0,0,N/a,,
050800011001,Dismal Creek,2,2,1.,1.,11,11,22,Grade Stabilization Structure,,
050800011002,Kraut Creek,0,0,0,0,0,0,0,N/a,,
050800011004,Headwaters Greenville Creek,0,0,0,0,0,0,0,N/a,,
050800030102,Jordan Creek-Martindale Creek,5,5,58,58,14,16,32,Prescribed Grazing,,
050800030104,Little Creek-Whitewater River,10,10,10,10,38,41,82,Prescribed Grazing,,
050800030201,Little Mud Creek-Mud Creek,6,6,19,19,43,46,93,Grassed Waterway,,
050800030202,Copy Run-Greens Fork,6,6,3.,3.,13,13,28,Grassed Waterway,,
051201010102,Stoney Creek-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010103,Toti Creek-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010401,Wilson Creek-Limberlost Creek,4,4,21,21,41,58,11,Cover Crop,,
051201010402,Shirk Votaw Ditch-Camp Run,2,2,16,16,20,30,60,Cover Crop,,
051201010403,Bear Creek,2,2,74,74,16,22,44,Cover Crop,,
051201010404,Oakley Ditch-Limberlost Creek,0,0,0,0,0,0,0,N/a,,
051201010405,Votaw Ditch-Loblolly Creek,24,24,39,39,66,93,18,Cover Crop,,
051201010501,Hickory Branch-Wabash River,2,2,13,13,18,27,55,Cover Crop,,
051201010502,Brewster Ditch-Wabash River,7,7,62,62,47,65,12,Tree/Shrub Establishment,,
051201010601,Jamstutz Ditch-Wabash River,21,21,50,50,45,65,13,Cover Crop,,
051201010602,Threemile Creek-Wabash River,6,6,19,19,24,32,64,Cover Crop,,
051201010603,Kunkel Lake-Sixmile Creek,3,3,66,66,78,10,21,Cover Crop,,
051201010604,Miller Ditch-Sixmile Creek,46,46,13,13,12,17,35,Cover Crop,,
051201010701,Headwaters Rock Creek,11,11,15,15,17,25,50,Cover Crop,,
051201010702,Mossburg Ditch,11,11,43,43,56,75,15,Cover Crop,,
051201010703,Stites Ditch-Rock Creek,3,3,13,13,19,24,49,CREP CP 2 Establishment of Permanent Native Grass,,
051201010704,Elkenberry Ditch-Rock Creek,4,4,56,56,89,11,22,CREP CP 31 Bottom Timber Establishment on Wetland,,
051201010801,Johns Creek-Wabash River,11,11,96,96,19,24,48,Cover Crop,,
051201010802,Dowty Ditch-Wabash River,26,26,23,23,39,50,10,Cover Crop,,
051201010803,Bender Ditch-Wabash River,6,6,83,83,11,15,30,Conservation Cover,,
051201010804,Griffin Ditch-Wabash River,0,0,0,0,0,0,0,N/a,,
051201010901,Maple Creek-Eightmile Creek,5,5,51,51,66,91,18,Cover Crop,,
051201010902,Moser Lake-Eightmile Creek,9,9,11,11,14,19,38,Conservation Cover,,
051201010903,Big Creek-Eightmile Creek,17,17,26,26,36,51,10,Early Successional Habitat Development/Management,,
051201010904,Pleasant Run Ditch-Eightmile Creek,8,8,14,14,15,21,42,Cover Crop,,
051201011001,Seeger Ditch,2,2,12,12,20,28,57,Forage and Biomass Planting,,
051201011002,Beal Taylor Ditch-Aboite Creek,2,2,62,62,14,17,34,Cover Crop,,
051201011003,Robinson Creek,0,0,0,0,0,0,0,N/a,,
051201011004,Graham McCulloch Ditch #1-Little River,2,2,20,20,21,27,53,Tree/Shrub Establishment,,
051201011005,Little Indian Creek-Aboite Creek,3,3,81,81,19,22,45,Cover Crop,,
051201011006,Cow Creek-Little River,3,3,77,77,83,11,22,Cover Crop,,
051201011101,Flat Creek,19,19,46,46,63,82,16,Cover Crop,,
051201011102,Bull Creek-Little River,9,9,44,44,54,72,14,Cover Crop,,
051201011103,Mud Creek-Little River,16,16,57,57,79,10,20,Cover Crop,,
051201011104,Flint Creek-Little River,0,0,0,0,0,0,0,N/a,,
051201011201,West Branch Clear Creek,0,0,0,0,0,0,0,N/a,,
051201011202,Headwaters Clear Creek,7,7,74,74,70,94,18,Tree/Shrub Establishment,,
051201011301,Huntington Lake-Wabash River,0,0,0,0,0,0,0,N/a,,
051201011302,Silver Creek,17,17,43,43,86,10,20,"Residue and Tillage Management, No-Till",,
051201011303,Town of Andrews-Wabash River,20,20,91,91,12,15,30,Prescribed Grazing,,
051201011304,Loon Creek,3,3,79,79,12,15,30,"CREP CP 4D Permanent Wildlife Habitat, Noneasement",,
051201011305,Hanging Rock-Wabash River,23,23,65,65,11,13,27,Cover Crop,,
051201011401,Enyeart Creek-Wabash River,44,44,65,65,15,18,36,Cover Crop,,
051201011402,Stone Creek-Treaty Creek,25,25,78,78,14,17,35,Cover Crop,,
051201011403,Burr Creek-Wabash River,27,27,44,44,82,10,20,Cover Crop,,
051201011404,Ridgeway Creek,3,3,8.,8.,37,37,75,Grassed Waterway,,
051201011405,Kentner Creek,7,7,13,13,33,38,76,Grassed Waterway,,
051201011406,Gilbert Branch-Wabash River,18,18,31,31,72,86,17,Cover Crop,,
051201011407,Daniel Creek-Wabash River,27,27,43,43,96,11,23,Conservation Cover,,
051201011501,Headwaters Pipe Creek,0,0,0,0,0,0,0,N/a,,
051201011502,Stony Creek-Pipe Creek,3,3,15,15,13,19,38,Cover Crop,,
051201011503,Turkey Creek-Little Pipe Creek,14,14,81,81,16,20,40,Cover Crop,,
051201011504,Honey Creek,4,4,2.,2.,9.,11,22,Conservation Cover,,
051201011505,Walnut Creek-Pipe Creek,12,12,69,69,11,14,28,Cover Crop,,
051201011506,Negro Creek-Pipe Creek,0,0,0,0,0,0,0,N/a,,
051201011507,Bear Creek-Pipe Creek,14,14,34,34,58,71,14,Cover Crop,,
051201011601,Salem Ditch-Little Pipe Creek,3,3,11,11,26,30,61,Conservation Cover,,
051201011602,Prairie Ditch-Wabash River,24,24,60,60,13,15,31,Cover Crop,,
051201011603,Lowe Ditch-Wabash River,55,55,87,87,20,24,48,Cover Crop,,
051201020101,McLaughlin Ditch-Salamonie River,2,2,1.,1.,17,21,42,Filter Strip,,
051201020102,Little Salamonie River,0,0,0,0,0,0,0,N/a,,
051201020103,Berger Ditch-Salamonie River,0,0,0,0,0,0,0,N/a,,
051201020104,Sipe Ditch,3,3,10,10,25,34,69,"Residue and Tillage Management, No-Till",,
051201020105,Miller Ditch-Salamonie River,0,0,0,0,0,0,0,N/a,,
051201020106,Cowboy Run-Brooks Creek,8,8,12,12,23,34,68,Cover Crop,,
051201020107,Mud Creek-Brooks Creek,11,11,39,39,64,94,18,Cover Crop,,
051201020108,Glenn Miller Ditch-Salamonie River,16,16,58,58,14,19,38,"Residue and Tillage Management, No-Till",,
051201020201,Twomile Ditch-Salamonie River,1,1,30,30,52,76,15,Cover Crop,,
051201020202,Beaver Creek-Salamonie River,0,0,0,0,0,0,0,N/a,,
051201020203,Stoney Creek-Salamonie River,1,1,23,23,42,60,12,Cover Crop,,
051201020301,Scuffle Creek-Salamonie River,11,11,9.,9.,16,17,34,Early Successional Habitat Development/Management,,
051201020302,Prairie Creek,1,1,11,11,17,25,50,Forage and Biomass Planting,,
051201020303,Shadle Drain-Salamonie River,18,18,47,47,83,11,22,Early Successional Habitat Development/Management,,
051201020304,Baker Ditch-Black Creek,0,0,0,0,0,0,0,N/a,,
051201020305,Little Black Creek-Black Creek,0,0,0,0,0,0,0,N/a,,
051201020306,Morrison Ditch-Salamonie River,2,2,72,72,79,11,22,Conservation Cover,,
051201020401,Weasel Creek-Salamonie River,2,2,70,70,69,96,19,Conservation Cover,,
051201020402,Richland Creek,1,1,2.,2.,37,37,75,Grassed Waterway,,
051201020403,Majencia Creek,7,7,19,19,26,34,69,Cover Crop,,
051201020404,Rush Creek,4,4,5.,5.,30,30,60,Grassed Waterway,,
051201020405,Salamonie Reservoir-Salamonie River,4,4,14,14,14,20,41,Cover Crop,,
