HUC Name,HUC Code,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
Rivir Lake-Forker Creek,040500011601,25,32,35,37,13,15,31,"Residue and Tillage Management, No-Till",,
Winebrenner Branch-Carrol Creek,040500011602,18,19,29,29,79,92,18,Cover Crop,,
Muncie Lake-South Branch Elkhart River,040500011604,21,21,74,74,20,23,46,Conservation Cover,,
Coppes Ditch-Turkey Creek,040500011705,0,0,0,0,0,0,0,N/a,,
Black Creek,041000030704,78,10,15,16,61,67,13,"Residue and Tillage Management, No-Till",,
King Lake-Little Cedar Creek,041000030705,16,16,53,53,11,13,27,Cover Crop,,
Willow Creek,041000030706,26,26,85,85,18,21,43,"Residue and Tillage Management, No-Till",,
Dosch Ditch-Cedar Creek,041000030707,10,10,29,29,83,96,19,Cover Crop,,
Hursey Ditches-Bear Creek,041000030801,17,17,29,29,11,12,25,Cover Crop,,
Metcalf Ditch-St Joseph River,041000030802,19,20,67,67,30,32,64,"Residue and Tillage Management, No-Till",,
Swartz Carnahan Ditch-St Josepf River,041000030803,1,1,28,28,86,98,19,Cover Crop,,
Cedarville Reservoir-St Joseph River,041000030804,0,0,0,0,0,0,0,N/a,,
Ely Run-St Joseph River,041000030805,1,1,39,39,43,58,11,Cover Crop,,
Becketts Run-St Joseph River,041000030806,0,0,0,0,0,0,0,N/a,,
Black Creek,041000040302,0,0,0,0,0,0,0,N/a,,
Duck Creek,041000040304,0,0,0,0,0,0,0,N/a,,
Town of Willshire-St Marys River,041000040305,7,7,16,16,19,26,52,"Residue and Tillage Management, No-Till",,
Twentyseven Mile Creek,041000040401,0,0,0,0,0,0,0,N/a,,
Gales Ditch,041000040402,14,22,13,16,31,40,81,Prescribed Grazing,,
Headwaters Blue Creek,041000040403,6,11,29,38,35,52,10,Cover Crop,,
Little Blue Creek,041000040404,7,7,83,83,10,13,27,"Residue and Tillage Management, No-Till",,
Blue Creek,041000040405,6,8,38,38,40,56,11,"Residue and Tillage Management, No-Till",,
Martz Creek,041000040406,2,5,97,10,92,13,27,Cover Crop,,
Borum Run,041000040407,0,4,0,4.,7.,10,21,N/a,,
