HUC Code,HUC Name,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
040500011601,Rivir Lake-Forker Creek,2,17,11.8,61.0476584022,248.902557573,290.436994599,580.720842516,Conservation Cover,,
040500011602,Winebrenner Branch-Carrol Creek,16,17,422,425.7,983.72749231,1183.18375648,2365.12821062,Cover Crop,,
040500011604,Muncie Lake-South Branch Elkhart River,5,26,19.4,84.8834022039,214.089794322,250.93772199,497.735532379,Early Successional Habitat Development/Management,,
040500011705,Coppes Ditch-Turkey Creek,2,2,7,7,15.0428406696,16.7500151141,33.6485482892,Forage and Biomass Planting,,
041000030704,Black Creek,55,92,1644.2,1744.48870523,4075.18169232,4876.64544392,9749.32031049,Cover Crop,,
041000030705,King Lake-Little Cedar Creek,31,36,561.8,819.7,1927.21745805,2240.56116086,4484.6428028,Cover Crop,,
041000030706,Willow Creek,22,33,503.8,570.199931129,1277.71249742,1548.93572281,3096.1535331,Cover Crop,,
041000030707,Dosch Ditch-Cedar Creek,28,35,591.55,638.45,1960.49659827,2221.86644021,4442.30696919,Cover Crop,,
041000030801,Hursey Ditches-Bear Creek,37,38,708,708.1,2125.14163146,2409.67308186,4816.82055779,Cover Crop,,
041000030802,Metcalf Ditch-St Joseph River,40,41,879.9,880,2439.04629997,2803.12075932,5603.17526892,Cover Crop,,
041000030803,Swartz Carnahan Ditch-St Josepf River,25,25,265.36,265.36,616.310594131,721.215587077,1441.80050106,Cover Crop,,
041000030804,Cedarville Reservoir-St Joseph River,8,8,149.34,149.34,167.430102814,225.853536114,451.291591381,Cover Crop,,
041000030805,Ely Run-St Joseph River,20,20,286.35,286.35,334.021274069,448.753311113,896.693639031,Cover Crop,,
041000030806,Becketts Run-St Joseph River,0,0,0,0,0,0,0,N/a,,
041000040302,Black Creek,0,0,0,0,0,0,0,N/a,,
041000040304,Duck Creek,0,0,0,0,0,0,0,N/a,,
041000040305,Town of Willshire-St Marys River,9,9,176.2,176.2,209.587798722,283.844737222,567.15857708,"Residue and Tillage Management, No-Till",,
041000040401,Twentyseven Mile Creek,4,4,145.41,145.41,130.288314262,188.965983878,377.487431178,Cover Crop,,
041000040402,Gales Ditch,6,19,80.2,121.927410468,354.208142724,422.665613738,845.890625723,Cover Crop,,
041000040403,Headwaters Blue Creek,0,7,0,93.2,106.413256391,160.514411277,320.596205901,N/a,,
041000040404,Little Blue Creek,0,0,0,0,0,0,0,N/a,,
041000040405,Blue Creek,11,13,595.31,597.11,597.733395231,840.68257221,1679.56868638,"Residue and Tillage Management, No-Till",,
041000040406,Martz Creek,16,21,458.99,575.19,546.981422585,799.129744354,1596.32380564,Cover Crop,,
041000040407,Borum Run,1,6,0.81,62.91,66.2130602492,101.258756739,202.234657942,Cover Crop,,
041000040408,City of Decatur-St Marys River,9,26,155.9,201.260881543,1492.52820453,1756.94524691,3511.3042664,Cover Crop,,
041000040501,Holthouse Ditch,5,20,254.48,315.78,328.934149498,637.860757317,2732.68780529,Cover Crop,,
041000040502,Weber Ditche-St Marys River,8,10,327.8,330,489.365839679,621.418032142,1240.83497403,Cover Crop,,
041000040503,Nicklesen Creek,43,55,903.98,919.08,932.76845097,1317.95049623,2631.00360552,Cover Crop,,
041000040504,Buhlman Ditch-St Marys River,50,70,946.62,982.92,2063.0305885,2476.75679134,4955.44088711,Cover Crop,,
041000040601,Houk Ditch,18,18,371.6,371.6,439.562229,588.578327699,1176.10277902,Cover Crop,,
041000040602,Simmerman Ditch-St Marys River,3,6,103.1,104.7,113.094110604,268.666580074,928.033536357,Cover Crop,,
041000040603,Fairfield Ditch,1,2,4.18,7.98,9.90817316834,12.6196911454,25.2212044823,Cover Crop,,
041000040604,Snyder Ditch-St Marys River,6,6,73.55,73.55,109.705842219,141.206252225,282.197801325,Cover Crop,,
