HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
Rivir Lake-Forker Creek,040500011601,5,21,7.8,59.4476584022,252.840007799,295.327787786,590.494424274,Early Successional Habitat Development/Management,,
Winebrenner Branch-Carrol Creek,040500011602,14,16,303.3,308,736.630408952,876.775845868,1752.6915506,Cover Crop,,
Muncie Lake-South Branch Elkhart River,040500011604,10,31,68.8,134.283402204,338.387670472,400.246107759,796.195417846,Early Successional Habitat Development/Management,,
Coppes Ditch-Turkey Creek,040500011705,2,4,54.5,61.5,89.3195379,100.779271136,202.482431164,Cover Crop,,
Black Creek,041000030704,66,105,1540.8,1643.68870523,3866.51467225,4613.12966497,9222.65134523,Cover Crop,,
King Lake-Little Cedar Creek,041000030705,40,46,469.264944904,727.564944904,1847.29467433,2108.28795593,4220.45699442,Upland Wildlife Habitat Management,,
Willow Creek,041000030706,39,51,671.4,743.399931129,2262.2634023,2630.41135135,5259.68931185,Early Successional Habitat Development/Management,,
Dosch Ditch-Cedar Creek,041000030707,21,28,426.5,473.4,1355.29706393,1563.20224536,3126.50091004,Cover Crop,,
Hursey Ditches-Bear Creek,041000030801,20,21,542.9,543,1634.5839765,1863.64351401,3725.03238825,Cover Crop,,
Metcalf Ditch-St Joseph River,041000030802,35,37,864,883.4,3338.89530227,3621.64202231,7241.028301,Cover Crop,,
Swartz Carnahan Ditch-St Josepf River,041000030803,19,19,190.7,190.7,426.471192173,502.29401974,1005.15394635,Cover Crop,,
Cedarville Reservoir-St Joseph River,041000030804,14,15,206.8,212.1,241.224612308,325.612296338,650.648728609,Cover Crop,,
Ely Run-St Joseph River,041000030805,12,12,144.9,144.9,180.944509783,247.744763346,496.038462859,Early Successional Habitat Development/Management,,
Becketts Run-St Joseph River,041000030806,0,0,0,0,0,0,0,N/a,,
Black Creek,041000040302,0,0,0,0,0,0,0,N/a,,
Duck Creek,041000040304,3,3,103.9,103.9,91.8168001817,133.467598745,266.619002499,Cover Crop,,
Town of Willshire-St Marys River,041000040305,0,0,0,0,0,0,0,N/a,,
Twentyseven Mile Creek,041000040401,5,5,144.4,144.4,132.536467729,191.267926224,382.092518135,Cover Crop,,
Gales Ditch,041000040402,12,29,417.7,474.727410468,662.255175167,871.404923492,1742.29926995,Cover Crop,,
Headwaters Blue Creek,041000040403,5,12,104.8,198,203.83506329,302.092430399,603.415722714,Cover Crop,,
Little Blue Creek,041000040404,6,6,3.720087236,3.720087236,748.5,748.5,1496.9,Grassed Waterway,,
Blue Creek,041000040405,3,5,71.5,73.3,63.8231571249,91.3991717535,182.591118785,Tree/Shrub Establishment,,
Martz Creek,041000040406,10,15,262.1,378.3,349.697732454,520.871471569,1039.45317768,Cover Crop,,
Borum Run,041000040407,6,11,194.5,256.6,240.693576345,354.666509086,708.467098933,Cover Crop,,
City of Decatur-St Marys River,041000040408,25,42,409.9,455.260881543,1837.69628558,2219.0836092,4434.81257909,Cover Crop,,
Holthouse Ditch,041000040501,5,20,108,169.3,203.532936226,455.687691853,2367.79622515,Conservation Cover,,
Weber Ditche-St Marys River,041000040502,16,18,254.3,256.5,595.650146115,700.064048779,1398.36612201,Conservation Cover,,
Nicklesen Creek,041000040503,16,29,234.85,271.95,315.790644956,433.245350274,865.61402224,Cover Crop,,
Buhlman Ditch-St Marys River,041000040504,70,91,1391.45381084,1438.65381084,3180.32709339,3785.26613998,7573.21109599,Cover Crop,,
Houk Ditch,041000040601,30,30,393.233516988,393.233516988,775.546404566,940.954527412,1883.9124642,Cover Crop,,
Simmerman Ditch-St Marys River,041000040602,21,24,422.2,423.8,647.930209288,937.648019334,2265.213062,Cover Crop,,
Fairfield Ditch,041000040603,8,9,306.9,310.7,329.053601424,452.545867241,904.197140908,Cover Crop,,
Snyder Ditch-St Marys River,041000040604,6,6,95.3,95.3,131.537732915,176.065269673,352.900541939,Conservation Cover,,
Sly Run Creek,041000040605,0,0,0,0,0,0,0,N/a,,
Junk Ditch-St Marys River,041000040606,0,0,0,0,0,0,0,N/a,,
Trier Ditch,041000050101,23,23,70.9,70.9,339.639585807,369.14538287,745.014492189,Conservation Cover,,
Bullerman Ditch-Maumee River,041000050102,31,31,777,777,836.03232163,1141.94142327,2283.73247659,Cover Crop,,
Sixmile Creek-Maumee River,041000050103,78,78,1728.7,1728.7,1957.43435352,2647.30618048,5285.76600422,Cover Crop,,
Black Creek,041000050104,47,48,1386.7,1386.8,1800.06410509,2403.64878836,4866.34219835,Cover Crop,,
