HU_12_NAME,HUC_12,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Lead_BMP,x,y
Rivir Lake-Forker Creek,040500011601,8,30,191.6,278.2,772.648241873,899.722895989,1797.36488429,Cover Crop,,
Winebrenner Branch-Carrol Creek,040500011602,28,35,398.4,417.470798898,1030.7303372,1236.5161984,2474.96221875,Cover Crop,,
Muncie Lake-South Branch Elkhart River,040500011604,37,53,403.7,477.101928375,1171.63061239,1392.96832892,2791.84064176,Cover Crop,,
Coppes Ditch-Turkey Creek,040500011705,2,6,7,21,45.0856813392,50.5000302283,100.297096578,Forage and Biomass Planting,,
Black Creek,041000030704,25,83,120.588200184,251.625068871,736.415161261,814.807230509,1629.50630252,Cover Crop,,
King Lake-Little Cedar Creek,041000030705,10,22,342.1,398.764944904,1023.11405522,1168.90362738,2336.80212946,Cover Crop,,
Willow Creek,041000030706,56,81,1169.496809,1310.996809,2689.69596868,3264.84607378,6522.30352578,Cover Crop,,
Dosch Ditch-Cedar Creek,041000030707,29,42,558.977479339,675.977479339,1936.88446477,2226.57288637,4454.0750807,Cover Crop,,
Hursey Ditches-Bear Creek,041000030801,25,31,592.3,603.9,1785.51861171,2033.98360082,4066.93632666,Cover Crop,,
Metcalf Ditch-St Joseph River,041000030802,63,66,1479.8,1499.6,5271.3632244,5868.55196099,11727.0198759,Cover Crop,,
Swartz Carnahan Ditch-St Josepf River,041000030803,14,17,130,140.5,297.910475073,353.748166585,709.491201434,Cover Crop,,
Cedarville Reservoir-St Joseph River,041000030804,11,14,195.4,207.9,236.520734958,318.899718135,637.791019077,Cover Crop,,
Ely Run-St Joseph River,041000030805,25,30,500.5,519.122451791,760.053301821,973.129844197,1944.24668316,Cover Crop,,
Becketts Run-St Joseph River,041000030806,1,1,0.01,0.01,0,0,1,Lined Waterway or Outlet,,
Black Creek,041000040302,0,0,0,0,0,0,0,N/a,,
Duck Creek,041000040304,3,3,134.8,134.8,120,175,349,Cover Crop,,
Town of Willshire-St Marys River,041000040305,1,1,76.8,76.8,64,94,189,Cover Crop,,
Twentyseven Mile Creek,041000040401,9,9,193.1,193.1,181,260,518,Cover Crop,,
Gales Ditch,041000040402,27,40,583.5,605.027410468,996.158870911,1257.61474016,2510.15837066,Cover Crop,,
Headwaters Blue Creek,041000040403,54,56,1722.3,1733.6,1664.54839858,2379.42333479,4759.79252693,Cover Crop,,
Little Blue Creek,041000040404,19,25,786.4,790.120087236,1422.5,1747.5,3490.9,Cover Crop,,
Blue Creek,041000040405,20,27,710.6,727.614921947,701.297268235,1002.36069981,1954.28551224,Cover Crop,,
Martz Creek,041000040406,36,44,974.3,1096.3,1022.5373507,1491.13576752,2979.76327439,Cover Crop,,
Borum Run,041000040407,7,10,325.5,387.2,347.847672722,510.413813492,1020.56345279,Cover Crop,,
City of Decatur-St Marys River,041000040408,48,71,1287.6,1365.96088154,2649.30853349,3391.99171664,6773.8371582,Cover Crop,,
Holthouse Ditch,041000040501,31,42,685.2,712.6,787.622815878,1264.34672139,3982.6053639,Cover Crop,,
Weber Ditche-St Marys River,041000040502,48,60,1454.3,1460.9,1709.2,2301.2,4597.4,Cover Crop,,
Nicklesen Creek,041000040503,75,89,1576.9,1606.25,1668.63588929,2335.57017821,4664.13838706,Cover Crop,,
Buhlman Ditch-St Marys River,041000040504,51,83,1196.5,1234.75381084,3020.5498927,3535.21815776,7072.2995264,Cover Crop,,
Houk Ditch,041000040601,17,25,198.93815427,218.371671258,671.299854944,769.886996911,1527.8320911,"Residue and Tillage Management, No Till",,
Simmerman Ditch-St Marys River,041000040602,18,26,542.8,560.8,854.371842906,1207.06062246,2799.21059432,Cover Crop,,
Fairfield Ditch,041000040603,14,15,820.4,824.2,967.509581,1309.2482255,2618.49195144,Cover Crop,,
Snyder Ditch-St Marys River,041000040604,5,10,94.7,126.4,158.089526168,221.997447607,443.913477776,Cover Crop,,
Sly Run Creek,041000040605,1,1,0.642217630854,0.642217630854,67,67,124,Streambank and Shoreline Stabilization,,
Junk Ditch-St Marys River,041000040606,17,18,199.8,199.972176309,651,672,1338,Cover Crop,,
Trier Ditch,041000050101,7,26,105.2,121.7,408.525440331,462.540897432,931.968419004,Forage and Biomass Planting,,
Bullerman Ditch-Maumee River,041000050102,17,26,422.8,440.9,482,656,1308,Cover Crop,,
Sixmile Creek-Maumee River,041000050103,58,72,1392.9,1414.6,1894.4621419,2472.43850832,4942.87099534,Cover Crop,,
