HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons/yr),Phosphorus Reduction (lbs./yr),Nitrogen Reduction (lbs./yr),Most Frequent BMP,x,y
Rivir Lake-Forker Creek,040500011601,5,28,73.4,185.8,568.832340478,652.469581499,1303.66518356,Cover Crop,,
Winebrenner Branch-Carrol Creek,040500011602,9,29,117.8,177.970798898,505.101438393,592.807584007,1183.25258419,Conservation Cover,,
Muncie Lake-South Branch Elkhart River,040500011604,24,56,211.1,396.801928375,1002.970412,1186.96403934,2372.23990591,Cover Crop,,
Coppes Ditch-Turkey Creek,040500011705,2,8,4.9,25.9,53.4832254792,59.3752840443,118.105596049,Forage and Biomass Planting,,
Black Creek,041000030704,28,99,529.45,676.275068871,1713.5325766,1995.53876386,3989.38377076,Cover Crop,,
King Lake-Little Cedar Creek,041000030705,35,48,548.04,610.704944904,1785.35729568,2009.32030343,4017.34000724,Cover Crop,,
Willow Creek,041000030706,48,96,653.5,849.396808999,2390.45593629,2782.6482879,5567.30117814,Forage and Biomass Planting,,
Dosch Ditch-Cedar Creek,041000030707,32,45,672.8,759.877479339,1984.83944494,2318.49884014,4637.37176196,Cover Crop,,
Hursey Ditches-Bear Creek,041000030801,23,31,529.04,549.14,1245.55870379,1462.47043633,2921.75032891,Cover Crop,,
Metcalf Ditch-St Joseph River,041000030802,39,51,782.5,894.8,2524.66818482,2890.65598409,5780.67890464,Cover Crop,,
Swartz Carnahan Ditch-St Josepf River,041000030803,16,19,150.3,160.8,437.381966512,502.52620983,1005.70562811,Cover Crop,,
Cedarville Reservoir-St Joseph River,041000030804,5,8,4.84,17.34,11.3459248912,16.0680982162,32.125765977,Streambank and Shoreline Stabilization,,
Ely Run-St Joseph River,041000030805,14,21,275.4,302.722451791,432.934260609,558.302060936,1115.79489216,Cover Crop,,
Becketts Run-St Joseph River,041000030806,7,8,153,153.01,207.89620624,300.74392119,601.76774072,Forage and Biomass Planting,,
Black Creek,041000040302,0,0,0,0,0,0,0,N/a,,
Duck Creek,041000040304,0,0,0,0,0,0,0,N/a,,
Town of Willshire-St Marys River,041000040305,0,0,0,0,0,0,0,N/a,,
Twentyseven Mile Creek,041000040401,5,6,90.6,92.6,89.185498375,126.603154683,253.92589772,Cover Crop,,
Gales Ditch,041000040402,50,64,1224.6,1256.52741047,1606.60819201,2129.91343354,4257.01554134,Cover Crop,,
Headwaters Blue Creek,041000040403,55,58,1517.7,1598,1591.54653145,2245.70109476,4485.86064594,Cover Crop,,
Little Blue Creek,041000040404,7,15,258.5,329.520087236,1051.69821321,1193.90648914,2386.92329535,Cover Crop,,
Blue Creek,041000040405,33,42,1027.3,1101.21492195,1062.70367891,1509.73111981,2967.93804534,Cover Crop,,
Martz Creek,041000040406,29,35,712.3,723.6,720.286520369,1018.21167361,2033.24834955,Cover Crop,,
Borum Run,041000040407,12,14,507.8,512.1,509.534085851,712.817197608,1424.15294662,Cover Crop,,
City of Decatur-St Marys River,041000040408,43,66,825,903.360881543,2274.56416324,2839.38302217,5674.04593323,Cover Crop,,
Holthouse Ditch,041000040501,39,50,1182.3,1209.7,1225.64666557,1906.57396902,5266.37394765,Cover Crop,,
Weber Ditche-St Marys River,041000040502,26,38,674.1,680.7,1007.06023702,1296.58103139,2589.98772096,Cover Crop,,
Nicklesen Creek,041000040503,61,76,1438.21,1487.56,1735.23524679,2358.04438735,4712.60625832,Cover Crop,,
Buhlman Ditch-St Marys River,041000040504,36,69,744.6,789.953810836,2254.48133404,2589.1521798,5183.90598489,Cover Crop,,
Houk Ditch,041000040601,6,19,104.3,134.171671258,450.749155208,507.554226143,1006.87174994,Cover Crop,,
Simmerman Ditch-St Marys River,041000040602,7,15,130.4,148.4,349.685121086,526.112389642,1442.95983962,"Residue and Tillage Management, No Till",,
Fairfield Ditch,041000040603,4,5,228.4,232.2,355.402785834,454.827284363,908.983143555,Cover Crop,,
Snyder Ditch-St Marys River,041000040604,2,7,11.1,42.8,62.9119479277,89.9840093065,180.850280555,Cover Crop,,
Sly Run Creek,041000040605,0,1,0,0.642217630854,67,67,124,N/a,,
Junk Ditch-St Marys River,041000040606,4,5,40.2,40.3721763085,455.936555694,412.360411977,823.60631251,Cover Crop,,
